序号,项目名称,项目全名,项目链接,仓库描述,主页网址,项目语言,星标数,Fork数,Watch数,Open_Issues,默认分支,创建时间,更新时间,推送时间,仓库大小_KB,是否为Fork,是否私有,Topics,License,Owner,Owner类型
1,github-repos,ABC1319/github-repos,https://github.com/ABC1319/github-repos,github-repos，https://abc1319.github.io/github-repos/,https://github-repos.pages.dev/,HTML,1,0,1,0,main,2026-08-05T05:09:02Z,2026-08-05T07:12:44Z,2026-08-05T08:36:25Z,2093,False,False,,,ABC1319,User
2,minerUTransform,ABC1319/minerUTransform,https://github.com/ABC1319/minerUTransform,批量文档处理脚本：使用 MinerU 将 PDF/DOC/DOCX/PPTX/XLSX/PPT/XLS 转换为 Markdown,,,0,0,0,0,main,2026-08-05T06:06:57Z,2026-08-05T06:06:57Z,2026-06-12T00:42:36Z,6,True,False,,,ABC1319,User
3,github-star,ABC1319/github-star,https://github.com/ABC1319/github-star,github-星标，https://abc1319.github.io/github-star/,https://github-star-am3.pages.dev/,HTML,1,0,1,0,main,2026-08-05T01:38:55Z,2026-08-05T04:28:38Z,2026-08-05T04:25:03Z,1896,False,False,,,ABC1319,User
4,iptv-hybrid,ABC1319/iptv-hybrid,https://github.com/ABC1319/iptv-hybrid,iptv自动测速，整理,https://raw.githubusercontent.com/abc1319/iptv-hybrid/main/iptv.m3u,Python,1,0,1,0,main,2026-05-23T10:43:56Z,2026-08-05T03:19:50Z,2026-08-05T03:19:45Z,797,False,False,,,ABC1319,User
5,export-github-stars,ABC1319/export-github-stars,https://github.com/ABC1319/export-github-stars,View / Sort / Export your Starred repositories.,https://export-github-stars.netlify.com/,,0,0,0,0,master,2026-08-05T03:08:47Z,2026-08-05T03:08:47Z,2022-02-22T16:46:08Z,9412,True,False,,MIT,ABC1319,User
6,ai-hot,ABC1319/ai-hot,https://github.com/ABC1319/ai-hot,🔥 AI热榜：面向中文用户的 AI 工具、模型、Agent、新闻导航站，GitHub + 网站双向信息流，每6小时自动更新,http://ai-hot.13145219.xyz/,Python,0,0,0,0,main,2026-07-01T03:58:32Z,2026-08-05T02:51:50Z,2026-08-05T02:52:20Z,508813,True,False,,MIT,ABC1319,User
7,ophel,ABC1319/ophel,https://github.com/ABC1319/ophel,"Turn AI conversations into organized, reusable workflows — across major AI platforms. | 把 AI 对话转化为可组织、可复用的工作流，适用于主流 AI 平台",https://ophel.app,,1,0,1,0,main,2026-08-05T00:47:00Z,2026-08-05T00:49:30Z,2026-08-04T14:43:22Z,47310,True,False,,GPL-3.0,ABC1319,User
8,free-programming-books-zh_CN,ABC1319/free-programming-books-zh_CN,https://github.com/ABC1319/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿,http://weibo.com/justjavac,,0,0,0,0,main,2023-11-12T16:22:32Z,2026-08-04T00:24:05Z,2026-08-04T00:21:33Z,1083,True,False,,GPL-3.0,ABC1319,User
9,bookmarksite,ABC1319/bookmarksite,https://github.com/ABC1319/bookmarksite,,https://abc1319.github.io/bookmarksite/,TypeScript,1,0,1,0,main,2026-08-02T13:22:00Z,2026-08-04T00:22:34Z,2026-08-04T00:22:47Z,131,False,False,,,ABC1319,User
10,TelegramEverything,ABC1319/TelegramEverything,https://github.com/ABC1319/TelegramEverything,Telegram 电报严选资源导航,,,0,0,0,0,main,2026-08-03T12:37:58Z,2026-08-03T12:37:58Z,2026-08-02T06:29:51Z,244,True,False,,,ABC1319,User
11,doc88_extractor,ABC1319/doc88_extractor,https://github.com/ABC1319/doc88_extractor,道客巴巴文档无损提取工具（非图片） A tool make you extract the doc88 documents.,,Python,0,0,0,0,main,2025-09-19T07:59:45Z,2026-08-03T12:24:08Z,2026-08-03T12:21:14Z,216,True,False,,,ABC1319,User
12,ScriptCat,ABC1319/ScriptCat,https://github.com/ABC1319/ScriptCat,解除部分网站不允许复制的限制，文本选中后点击复制按钮即可复制，主要用于：百度文库|道客巴巴|腾讯文档|豆丁网|无忧考网|学习啦|蓬勃范文|思否社区|力扣|知乎|语雀|QQ文档|360doc|17k|CSDN等,https://github.com/scriptscat/scriptcat,,0,0,0,0,main,2026-08-03T12:23:11Z,2026-08-03T12:23:12Z,2026-03-23T18:14:11Z,44,True,False,,,ABC1319,User
13,remove-bg,ABC1319/remove-bg,https://github.com/ABC1319/remove-bg,🫧 一键去除图片背景应用,https://rmbg.hellokaton.me,,1,0,1,0,main,2026-08-03T12:17:24Z,2026-08-03T12:17:30Z,2025-12-29T09:09:09Z,2570,True,False,,MIT,ABC1319,User
14,OpenBidKit_Yibiao,ABC1319/OpenBidKit_Yibiao,https://github.com/ABC1319/OpenBidKit_Yibiao,开箱即用的AI标书编写工具，标书AI生成工具，投标工具箱、知识库、标书查重、废标项检查，完全开源免费，欢迎使用,https://yibiao.pro,,0,0,0,0,main,2026-08-03T12:15:53Z,2026-08-03T12:15:53Z,2026-08-03T07:17:00Z,58722,True,False,,AGPL-3.0,ABC1319,User
15,shuxiangdownload,ABC1319/shuxiangdownload,https://github.com/ABC1319/shuxiangdownload,书香中国网站上的图书下载器，要先注册好账号，下载完整PDF后可离线看。,,,0,0,0,0,main,2026-08-03T12:14:06Z,2026-08-03T12:14:06Z,2026-06-25T01:20:12Z,1410,True,False,,,ABC1319,User
16,bookmarksite-1e5935df,ABC1319/bookmarksite-1e5935df,https://github.com/ABC1319/bookmarksite-1e5935df,,,TypeScript,0,0,0,0,main,2026-08-03T01:05:21Z,2026-08-03T11:01:01Z,2026-08-03T11:00:00Z,146,False,False,,,ABC1319,User
17,nav1,ABC1319/nav1,https://github.com/ABC1319/nav1,"发现导航，好用强大轻量级导航网站 Discover navigation, easy to use, powerful lightweight navigation website",https://nav1-8j1.pages.dev/,TypeScript,1,0,1,0,main,2026-08-03T02:38:42Z,2026-08-03T03:36:08Z,2026-08-03T02:41:52Z,88946,True,False,,GPL-3.0,ABC1319,User
